# Java Audiveris 5.11 (Temurin JDK 25) raw STEM_SEEDS candidates.
# Generated by StemSeedsProbe from HEADERS plus StemScaler; the probe
# reflectively calls VerticalsBuilder.retrieveCandidates() and never
# calls checkVerticals(), so these are StickFactory outputs, not seeds.
#
# stemseedinput section digests cover tag/id, position, bounds, weight,
# and every run in Java order. Candidate members retain the compound's
# mixed-orientation order; v/h tags disambiguate the two lag id spaces.
# All floating-point values are Double.toHexString exact encodings.
# Summary digests are FNV-1a-64 over exact record rows plus newline.
#
# Regenerate from the repository root:
#   env -u JAVA_TOOL_OPTIONS JAVA_HOME=/path/to/jdk25/Contents/Home \
#     ./gradlew --no-daemon -q \
#     -I rust/oracle/java/staff-impacts.init.gradle :app:stemSeedsProbe \
#     '-PstemSeedTargets=data/examples/chula.png:1 ...'
stemseedsheet chula.png#1 systems 3
stemseedinput chula.png#1 system 1 profile 1 left 201 right 2327 interline 21 maxStem 4 minCore 32 minSide 0x1.999999999999ap-2 vertical 1321 37f0ff76ff47862d stickers 642 ec0b76655c693264
stemseedcandidate chula.png#1 system 1 ordinal 42 members h1006,v3070,v3072,v3073,v3074 bounds 2182 395 4 89 weight 226 start 0x1.110a3fad7452cp11 0x1.8bp8 stop 0x1.10ec3341e98ffp11 0x1.e3p8 thickness 0x1.4508a11422845p1 distance 0x1.7ecb06b51c6dbp-1
stemseedcandidate chula.png#1 system 1 ordinal 43 members v1059,v1060,v1062 bounds 393 393 3 86 weight 228 start 0x1.8a4a8cb6c12c5p8 0x1.89p8 stop 0x1.89f9a33aaf5c1p8 0x1.dep8 thickness 0x1.53594d653594dp1 distance 0x1.8dc544e62cadap-1
stemseedcandidate chula.png#1 system 1 ordinal 44 members h866,v1478,v1480,v1483,v1484,h949,v1485 bounds 778 374 3 86 weight 225 start 0x1.85a84754abdc5p9 0x1.76p8 stop 0x1.854ac8bc3fbe5p9 0x1.cbp8 thickness 0x1.4ee23b88ee23cp1 distance 0x1.863e3c3ff4e3cp-1
stemseedcandidate chula.png#1 system 1 ordinal 45 members h918,v1570,v1571,v1572,h996,v1576,v1578,h986 bounds 868 374 3 86 weight 188 start 0x1.b2d34771ab5bep9 0x1.76p8 stop 0x1.b26547c5d7a5cp9 0x1.cbp8 thickness 0x1.17d05f417d05fp1 distance 0x1.55a9962792d0cp-1
stemseedcandidate chula.png#1 system 1 ordinal 46 members v1719,v1720,v1721,v1723,v1726,h1201,v1727 bounds 1019 608 3 85 weight 226 start 0x1.fe03abe7f9fd9p9 0x1.3p9 stop 0x1.fe10b00d5d52fp9 0x1.5ap9 thickness 0x1.5454545454545p1 distance 0x1.93877a60a8bdbp-1
stemseedcandidate chula.png#1 system 1 ordinal 47 members h923,v1955,v1956,h1005,v1958,v1961 bounds 1210 391 3 84 weight 197 start 0x1.2ed5b12221d4p10 0x1.87p8 stop 0x1.2ecbb4b67ffb4p10 0x1.dap8 thickness 0x1.2c30c30c30c31p1 distance 0x1.73025ca17f7adp-1
stemseedcandidate chula.png#1 system 1 ordinal 48 members v2083,v2086,h911,h974,v2090 bounds 1316 390 3 85 weight 174 start 0x1.492e757610f2cp10 0x1.86p8 stop 0x1.49215998f2b87p10 0x1.dap8 thickness 0x1.060606060606p1 distance 0x1.3783eca54732dp-1
stemseedcandidate chula.png#1 system 1 ordinal 49 members v2440,v2441,v2442,v2447 bounds 1574 379 3 83 weight 225 start 0x1.89d6b96b44704p10 0x1.7bp8 stop 0x1.89b8e4596fe94p10 0x1.cdp8 thickness 0x1.5afcea68de128p1 distance 0x1.8d7fb4a312d83p-1
stemseedcandidate chula.png#1 system 1 ordinal 50 members h1174,v1382,v1383,h1222 bounds 649 616 3 82 weight 158 start 0x1.44ce2d939f619p9 0x1.34p9 stop 0x1.44baaf4f65dddp9 0x1.5c8p9 thickness 0x1.ed44aed44aed4p0 distance 0x1.04fb4b2e8776cp-1
stemseedcandidate chula.png#1 system 1 ordinal 51 members v3093,v3094,v3095 bounds 2223 594 3 86 weight 208 start 0x1.160c5a62f4db4p11 0x1.29p9 stop 0x1.15eabfd7c2de8p11 0x1.538p9 thickness 0x1.3594d653594d6p1 distance 0x1.6e682c0fe79c6p-1
